url,registrable,text
,andaman.gov.in," 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: andaman.gov.in
Registrable Domain: andaman.gov.in

📡 DNS Records:

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 7452 days
   Days Until Expiry: 217

📊 Metadata:
   First Seen: 2025-10-14T14:43:23.730243+00:00
   Processing Stage: rules:benign"
https://ongcindia.com/,ongcindia.com,"https://ongcindia.com/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: ongcindia.com
URL: https://ongcindia.com/
Registrable Domain: ongcindia.com

🔍 Page Features & Analysis:

   URL Structure:
      Length: 22 chars, Entropy: 3.79
      Subdomains: 0, Hyphens: 0, Special Chars: 0

📊 Metadata:
   First Seen: 2025-10-14T14:49:00.192115+00:00
   Processing Stage: rules:benign"
https://nhai.gov.in/#/,nhai.gov.in,"https://nhai.gov.in/#/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: nhai.gov.in
URL: https://nhai.gov.in/#/
Registrable Domain: nhai.gov.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 22 chars, Entropy: 3.64
      Subdomains: 1, Hyphens: 0, Special Chars: 1

   📄 Page Content:
      External Links: 77

   ⚠️ JavaScript Behavior:

📊 Metadata:
   First Seen: 2025-10-14T14:47:45.617558+00:00
   Processing Stage: rules:benign"
https://gailonline.com/,gailonline.com,"https://gailonline.com/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: gailonline.com
URL: https://gailonline.com/
Registrable Domain: gailonline.com

🔍 Page Features & Analysis:

   URL Structure:
      Length: 23 chars, Entropy: 3.88
      Subdomains: 0, Hyphens: 0, Special Chars: 0

   📝 Forms Detected:
      Total Forms: 2
      Password Fields: 0
      Email Fields: 0

   📄 Page Content:
      External Links: 248

   🚩 Phishing Keywords Detected: account

   ⚠️ JavaScript Behavior:

📊"
https://www.wipro.com/,wipro.com,"https://www.wipro.com/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: www.wipro.com
URL: https://www.wipro.com/
Registrable Domain: wipro.com

🔍 Page Features & Analysis:

   URL Structure:
      Length: 22 chars, Entropy: 3.52
      Subdomains: 1, Hyphens: 0, Special Chars: 0

   📝 Forms Detected:
      Total Forms: 2
      Password Fields: 0
      Email Fields: 1
      Submit Buttons: Submit

   📄 Page Content:
      External Links: 49

   🚩 Phishing Keywords Detected: secure

   ⚠️ Java"
,aiims.edu," Domain: aiims.edu
Registrable Domain: aiims.edu

📡 DNS Records:
   A (IPv4): 203.115.96.82
   MX (Mail): ALT3.ASPMX.L.GOOGLE.COM, ALT1.ASPMX.L.GOOGLE.COM, ALT4.ASPMX.L.GOOGLE.COM, ALT2.ASPMX.L.GOOGLE.COM, ASPMX.L.GOOGLE.COM
   NS (Nameservers): ns.pugmarks.com, ns1.pugmarks.com

📋 WHOIS Information:
   Domain Age: 10458 days
   Days Until Expiry: 289

🌍 Network & Location:
   ASN: 17426
   Country: IN, Mumbai

📊 Metadata:
   First Seen: 1760452919.1980977
   Processing Stage: resolved"
https://arunachalpradesh.gov.in/,arunachalpradesh.gov.in,"https://arunachalpradesh.gov.in/ Domain: arunachalpradesh.gov.in
Registrable Domain: arunachalpradesh.gov.in

📡 DNS Records:
   A (IPv4): 160.30.140.24
   NS (Nameservers): ns1.nic.in, ns2.nic.in, ns7.nic.in, ns10.nic.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 7109 days
   Days Until Expiry: 195

🌍 Network & Location:
   ASN: 153213
   Country: IN

📊 Metadata:
   First Seen: 1760452920.775456
   Processing Stage: resolved"
,accounts.mgovcloud.in," 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: accounts.mgovcloud.in
Registrable Domain: accounts.mgovcloud.in

📡 DNS Records:
   A (IPv4): 169.148.142.41
   CNAME: zs-in2nic-lc1.mgovcloud.in

📋 WHOIS Information:
   Registrar: MarkMonitor, Inc.
   Domain Age: 575 days
   Days Until Expiry: 154

🌍 Network & Location:
   ASN: 56201
   Country: IN

📊 Metadata:
   First Seen: 2025-10-15T03:57:04.826129+00:00
   Processing Stage: rules:benign"
https://chandigarh.gov.in/,chandigarh.gov.in,"https://chandigarh.gov.in/ Domain: chandigarh.gov.in
Registrable Domain: chandigarh.gov.in

📡 DNS Records:
   A (IPv4): 164.100.166.106
   NS (Nameservers): ns2.nic.in, ns10.nic.in, ns7.nic.in, ns1.nic.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 7530 days
   Days Until Expiry: 139

🌍 Network & Location:
   ASN: 4758
   Country: IN

📊 Metadata:
   First Seen: 1760452923.306061
   Processing Stage: resolved"
,ap.gov.in," Domain: ap.gov.in
Registrable Domain: ap.gov.in

📡 DNS Records:
   A (IPv4): 103.129.75.39
   MX (Mail): mailgw.nic.in
   NS (Nameservers): dns4.ap.gov.in, dns1.ap.gov.in, dns2.ap.gov.in, dns5.ap.gov.in, dns3.ap.gov.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 8264 days
   Days Until Expiry: 136

🌍 Network & Location:
   ASN: 137671
   Country: IN

📊 Metadata:
   First Seen: 1760452928.995967
   Processing Stage: resolved"
